product_id,product_name,category,price,rating
101,"Minimalist Wall Clock","Home Decor",499,4.5
102,"Oversized Hoodie - Pink","Clothing",899,4.2
103,"Wooden Coffee Table","Furniture",1499,4.8
104,"Portable Blender","Electronics",999,3.9
105,"Bluetooth Speaker","Electronics",699,4.6
106,"Smart LED Bulb","Electronics",399,4.3
107,"Cotton Throw Pillow","Home Decor",299,4.7
108,"Stainless Steel Water Bottle","Kitchen",449,4.4
109,"Wireless Earbuds","Electronics",1299,4.5
110,"Yoga Mat","Fitness",599,4.2
111,"French Press Coffee Maker","Kitchen",649,4.8
112,"Succulent Plant Set","Home Decor",349,4.3
113,"Ceramic Dinner Set","Kitchen",1199,4.6
114,"Bamboo Cutting Board","Kitchen",399,4.7
115,"Digital Food Scale","Kitchen",549,4.4
116,"Wireless Charging Pad","Electronics",799,4.2
117,"Essential Oil Diffuser","Home Decor",649,4.6
118,"Resistance Bands Set","Fitness",449,4.5
119,"Stainless Steel Cookware Set","Kitchen",2499,4.8
120,"Smart Fitness Tracker","Electronics",1799,4.7
121,"Knit Throw Blanket","Home Decor",899,4.5
122,"Desk Organizer","Home Office",549,4.3
123,"Laptop Stand","Home Office",799,4.6
124,"Mechanical Keyboard","Electronics",1299,4.7
125,"Ergonomic Office Chair","Furniture",3499,4.8
126,"Geometric Bookshelf","Furniture",1899,4.5
127,"Nonstick Frying Pan","Kitchen",699,4.4
128,"Himalayan Salt Lamp","Home Decor",549,4.2
129,"Smart Wi-Fi Router","Electronics",1599,4.7
130,"Cotton Bedsheet Set","Bedding",1299,4.6
131,"Microfiber Towel Set","Bath",799,4.5
132,"Stainless Steel Kitchen Knife Set","Kitchen",1299,4.8
133,"Cordless Vacuum Cleaner","Home Appliances",2799,4.6
134,"Air Purifier","Home Appliances",2499,4.7
135,"Weighted Blanket","Bedding",1499,4.4
136,"USB-C Hub Adapter","Electronics",899,4.3
137,"Ceramic Plant Pot","Home Decor",349,4.5
138,"Smart Door Lock","Home Security",3499,4.6
139,"Noise Cancelling Headphones","Electronics",1999,4.8
140,"Digital Drawing Tablet","Electronics",2499,4.5
141,"Adjustable Dumbbell Set","Fitness",2999,4.7
142,"Bathroom Scale","Bath",699,4.3
143,"Scented Candle Set","Home Decor",499,4.4
144,"Non-stick Baking Set","Kitchen",999,4.5
145,"Memory Foam Pillow","Bedding",799,4.6
146,"Solar Power Bank","Electronics",899,4.3
147,"Smartphone Gimbal","Electronics",1299,4.5
148,"Bluetooth Keyboard","Electronics",799,4.4
149,"Mini Portable Projector","Electronics",4999,4.6
150,"Rattan Storage Basket","Home Decor",449,4.5
151,"Smart Doorbell Camera","Home Security",2499,4.7
152,"Cast Iron Dutch Oven","Kitchen",1799,4.8
153,"Electric Kettle","Kitchen",899,4.6
154,"Slow Cooker","Kitchen",1299,4.5
155,"Document Scanner","Home Office",2999,4.4
156,"Wireless Mouse","Electronics",499,4.3
157,"Foam Roller","Fitness",599,4.5
158,"Hanging Planter","Home Decor",349,4.4
159,"Juicer Machine","Kitchen",1799,4.6
160,"Car Phone Mount","Automotive",299,4.2
161,"Cordless Drill Set","Tools",1999,4.7
162,"Smart Light Switch","Electronics",899,4.5
163,"Kitchen Scale","Kitchen",549,4.4
164,"Wireless Printer","Home Office",3499,4.6
165,"Indoor Security Camera","Home Security",1799,4.5
166,"Neck Massager","Health",899,4.3
167,"Wool Area Rug","Home Decor",1999,4.6
168,"Reusable Food Storage Bags","Kitchen",399,4.2
169,"Touchscreen Gloves","Clothing",349,4.0
170,"Bluetooth Car Adapter","Automotive",499,4.3
171,"Fitness Jump Rope","Fitness",249,4.5
172,"Plant Stand","Home Decor",699,4.4
173,"Wireless Doorbell","Home Security",799,4.5
174,"Kitchen Timer","Kitchen",199,4.2
175,"USB Rechargeable Lighter","Home Decor",349,4.0
176,"Silicone Baking Mats","Kitchen",449,4.6
177,"Collapsible Water Bottle","Sports",349,4.3
178,"Wooden Desk Lamp","Home Decor",899,4.5
179,"Bike Phone Mount","Sports",399,4.2
180,"Electric Toothbrush","Health",999,4.7
181,"Closet Organizer Set","Home Decor",799,4.4
182,"Insulated Travel Mug","Kitchen",399,4.5
183,"Bath Towel Set","Bath",999,4.6
184,"Smartphone Tripod","Electronics",449,4.3
185,"Outdoor String Lights","Home Decor",649,4.5
186,"Resistance Loop Bands","Fitness",299,4.4
187,"Vegetable Chopper","Kitchen",549,4.3
188,"Wireless Security System","Home Security",4999,4.8
189,"Bedside Lamp","Home Decor",699,4.5
190,"Electric Coffee Grinder","Kitchen",799,4.4
191,"Plant Grow Light","Home Decor",599,4.3
192,"Shoe Organizer","Home Decor",449,4.2
193,"Microwave Rice Cooker","Kitchen",349,4.1
194,"Pet Hair Remover","Home Appliances",299,4.4
195,"Spice Rack Organizer","Kitchen",549,4.5
196,"Yoga Block Set","Fitness",349,4.3
